card_imageName,HD_Timestamp,hd_filename
cd_03564,1380596928,cd_03564.1380596928
cd_03565,1380596928,cd_03565.1380596928
cd_03570,1380596926,cd_03570.1380596926
cd_03571,1380596926,cd_03571.1380596926
cd_03572,1380596926,cd_03572.1380596926
cd_03573,1380596926,cd_03573.1380596926
cd_03574,1380596927,cd_03574.1380596927
cd_03575,1380596927,cd_03575.1380596927
cd_03580,1378885941,cd_03580.1378885941
cd_03581,1378885942,cd_03581.1378885942
cd_03583,1378885942,cd_03583.1378885942
cd_03584,1378885942,cd_03584.1378885942
cd_03585,1378885943,cd_03585.1378885943
cd_03590,1381805565,cd_03590.1381805565
cd_03591,1381805565,cd_03591.1381805565
cd_03593,1381805565,cd_03593.1381805565
cd_03594,1381805565,cd_03594.1381805565
cd_03595,1381805565,cd_03595.1381805565
cd_03600,1364785062,cd_03600.1364785062
cd_03601,1364785063,cd_03601.1364785063
cd_03610,1380596917,cd_03610.1380596917
cd_03611,1380596917,cd_03611.1380596917
cd_03613,1380596917,cd_03613.1380596917
cd_03614,1380596917,cd_03614.1380596917
cd_03615,1380596918,cd_03615.1380596918
cd_03620,1380251037,cd_03620.1380251037
cd_03621,1380251037,cd_03621.1380251037
cd_03623,1380251037,cd_03623.1380251037
cd_03624,1380251037,cd_03624.1380251037
cd_03625,1380251038,cd_03625.1380251038
cd_03630,1380251033,cd_03630.1380251033
cd_03631,1380251034,cd_03631.1380251034
cd_03633,1380251034,cd_03633.1380251034
cd_03634,1380251035,cd_03634.1380251035
cd_03635,1380251035,cd_03635.1380251035
cd_03636,1419476185,cd_03636.1419476185
cd_03640,1381805567,cd_03640.1381805567
cd_03641,1381805567,cd_03641.1381805567
cd_03643,1381805567,cd_03643.1381805567
cd_03644,1381805567,cd_03644.1381805567
cd_03645,1381805567,cd_03645.1381805567
cd_03650,1379040960,cd_03650.1379040960
cd_03651,1379040960,cd_03651.1379040960
cd_03656,1419476201,cd_03656.1419476201
cd_03660,1381287403,cd_03660.1381287403
cd_03661,1381287403,cd_03661.1381287403
cd_03663,1380596915,cd_03663.1380596915
cd_03664,1380596915,cd_03664.1380596915
cd_03665,1380596915,cd_03665.1380596915
cd_03670,1380596920,cd_03670.1380596920
cd_03671,1380596920,cd_03671.1380596920
cd_03672,1380596920,cd_03672.1380596920
cd_03680,1380251035,cd_03680.1380251035
cd_03681,1380251035,cd_03681.1380251035
cd_03683,1380251036,cd_03683.1380251036
cd_03684,1380251036,cd_03684.1380251036
cd_03685,1380251036,cd_03685.1380251036
cd_03690,1381805566,cd_03690.1381805566
cd_03691,1381805566,cd_03691.1381805566
cd_03693,1381805566,cd_03693.1381805566
cd_03694,1381805566,cd_03694.1381805566
cd_03695,1381805566,cd_03695.1381805566
cd_03700,1365994688,cd_03700.1365994688
cd_03701,1365994688,cd_03701.1365994688
cd_03703,1365994688,cd_03703.1365994688
cd_03704,1365994689,cd_03704.1365994689
cd_03705,1365994689,cd_03705.1365994689
cd_03710,1380596924,cd_03710.1380596924
cd_03711,1380596924,cd_03711.1380596924
cd_03720,1381805568,cd_03720.1381805568
cd_03721,1381805568,cd_03721.1381805568
cd_03723,1381805568,cd_03723.1381805568
cd_03724,1381805569,cd_03724.1381805569
cd_03725,1381805569,cd_03725.1381805569
cd_03730,1382324159,cd_03730.1382324159
cd_03731,1382324159,cd_03731.1382324159
cd_03740,1382324159,cd_03740.1382324159
cd_03741,1382324160,cd_03741.1382324160
cd_03743,1382324160,cd_03743.1382324160
cd_03744,1382324160,cd_03744.1382324160
cd_03745,1382324160,cd_03745.1382324160
cd_03750,1383274905,cd_03750.1383274905
cd_03751,1383274905,cd_03751.1383274905
cd_03760,1383274906,cd_03760.1383274906
cd_03761,1383274906,cd_03761.1383274906
cd_03763,1383274906,cd_03763.1383274906
cd_03764,1383274906,cd_03764.1383274906
cd_03765,1383274907,cd_03765.1383274907
cd_03770,1383274907,cd_03770.1383274907
cd_03771,1383274907,cd_03771.1383274907
cd_03780,1385528225,cd_03780.1385528225
cd_03781,1381805568,cd_03781.1381805568
cd_03786,1432263772,cd_03786.1432263772
cd_03790,1382324168,cd_03790.1382324168
cd_03791,1382324169,cd_03791.1382324169
cd_03796,1417142942,cd_03796.1417142942
cd_03800,1365994689,cd_03800.1365994689
cd_03801,1365994690,cd_03801.1365994690
cd_03810,1384851103,cd_03810.1384851103
cd_03811,1384851104,cd_03811.1384851104
cd_03813,1384851104,cd_03813.1384851104
cd_03814,1384851104,cd_03814.1384851104
cd_03815,1384851104,cd_03815.1384851104
cd_03820,1384851104,cd_03820.1384851104
cd_03821,1384851104,cd_03821.1384851104
cd_03823,1384851105,cd_03823.1384851105
cd_03824,1384851105,cd_03824.1384851105
cd_03825,1384851105,cd_03825.1384851105
cd_03830,1383274903,cd_03830.1383274903
cd_03831,1383274903,cd_03831.1383274903
cd_03836,1432263772,cd_03836.1432263772
cd_03840,1383274912,cd_03840.1383274912
cd_03846,1432263773,cd_03846.1432263773
cd_03850,1383274912,cd_03850.1383274912
cd_03856,1432263773,cd_03856.1432263773
cd_03860,1383274905,cd_03860.1383274905
cd_03861,1383274905,cd_03861.1383274905
cd_03866,1419476184,cd_03866.1419476184
cd_03870,1382324161,cd_03870.1382324161
cd_03871,1382324161,cd_03871.1382324161
cd_03873,1382324161,cd_03873.1382324161
cd_03874,1382324161,cd_03874.1382324161
cd_03875,1382324162,cd_03875.1382324162
cd_03880,1385088763,cd_03880.1385088763
cd_03881,1385088763,cd_03881.1385088763
cd_03890,1382324162,cd_03890.1382324162
cd_03891,1382324162,cd_03891.1382324162
cd_03900,1365994690,cd_03900.1365994690
cd_03901,1365994690,cd_03901.1365994690
cd_03910,1382324162,cd_03910.1382324162
cd_03911,1382324162,cd_03911.1382324162
cd_03920,1382929071,cd_03920.1382929071
cd_03921,1382929071,cd_03921.1382929071
cd_03926,1442477212,cd_03926.1442477212
cd_03930,1383274903,cd_03930.1383274903
cd_03931,1383274903,cd_03931.1383274903
cd_03940,1383274902,cd_03940.1383274902
cd_03941,1383274902,cd_03941.1383274902
cd_03950,1382324163,cd_03950.1382324163
cd_03951,1382324163,cd_03951.1382324163
cd_03953,1382324163,cd_03953.1382324163
cd_03954,1382324163,cd_03954.1382324163
cd_03955,1382324164,cd_03955.1382324164
cd_03960,1382324164,cd_03960.1382324164
cd_03961,1382324164,cd_03961.1382324164
cd_03970,1382324165,cd_03970.1382324165
cd_03971,1382324165,cd_03971.1382324165
cd_03973,1382324165,cd_03973.1382324165
cd_03974,1382324165,cd_03974.1382324165
cd_03975,1382324166,cd_03975.1382324166
cd_03980,1382929072,cd_03980.1382929072
cd_03981,1382929072,cd_03981.1382929072
cd_03983,1382929072,cd_03983.1382929072
cd_03984,1382929073,cd_03984.1382929073
cd_03985,1382929073,cd_03985.1382929073
